DATUM,DURCHSCHNITT_TEMP_DE,tmin,tmax,DURCHSCHNITT_NIEDERSCHLAG_DE,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,5.9,4.6,6.7,,,215.0,15.9,38.9,1006.0,
2024-01-02,6.8,4.9,8.6,,,200.0,15.7,44.5,997.0,
2024-01-03,8.4,7.5,9.2,,,224.0,21.2,50.0,991.8,
2024-01-04,6.1,4.0,7.6,,,257.0,16.5,44.5,1000.9,
2024-01-05,5.3,4.1,7.2,,,194.0,8.6,27.8,1002.4,
2024-01-06,3.9,2.1,5.1,,,262.0,7.6,22.2,1008.1,
2024-01-07,-0.9,-3.4,1.7,,,24.0,16.4,29.6,1021.8,
2024-01-08,-4.8,-7.3,-3.0,,,36.0,17.1,29.6,1031.1,
2024-01-09,-7.4,-9.6,-4.8,,,53.0,11.3,24.1,1035.0,
2024-01-10,-7.5,-10.3,-4.3,,,55.0,7.7,14.8,1032.4,
2024-01-11,-5.3,-8.8,-2.0,,,341.0,5.8,14.8,1033.3,
2024-01-12,-1.2,-2.4,0.0,,,287.0,6.5,16.7,1032.3,
2024-01-13,1.1,0.1,2.1,,,244.0,13.7,37.0,1022.3,
2024-01-14,1.6,0.8,2.3,,,245.0,18.6,42.6,1009.2,
2024-01-15,0.9,0.1,1.6,,,259.0,23.5,48.2,1001.2,
2024-01-16,-0.5,-2.9,0.5,,,241.0,14.3,46.3,1008.5,
2024-01-17,-2.8,-4.0,-1.7,,,155.0,6.6,16.7,995.6,
2024-01-18,-3.0,-4.2,-1.7,,,328.0,10.0,24.1,999.3,
2024-01-19,-3.4,-6.3,-0.4,,,229.0,10.0,25.9,1019.4,
2024-01-20,-3.3,-5.5,-1.1,,,203.0,10.1,25.9,1030.0,
2024-01-21,-2.1,-5.9,2.3,,,190.0,13.3,38.9,1025.7,
2024-01-22,5.2,2.7,6.6,,,215.0,21.6,53.7,1012.9,
2024-01-23,5.5,4.4,6.3,,,234.0,19.0,44.5,1022.2,
2024-01-24,8.8,6.8,10.2,,,251.0,29.0,66.7,1018.6,
2024-01-25,6.2,4.3,7.5,,,254.0,14.0,42.6,1027.8,
2024-01-26,6.4,4.8,8.6,,,230.0,16.1,48.2,1024.7,
2024-01-27,3.4,-0.4,5.8,,,237.0,9.6,31.5,1036.1,
2024-01-28,1.1,-2.6,5.7,,,184.0,6.6,18.5,1033.6,
2024-01-29,3.3,0.1,7.1,,,191.0,8.0,22.2,1030.1,
2024-01-30,5.0,2.5,7.6,,,198.0,8.7,22.2,1030.2,
2024-01-31,5.1,3.7,6.9,,,227.0,9.1,29.6,1032.3,
2024-02-01,5.2,3.8,6.5,,,261.0,15.0,33.3,1028.2,
2024-02-02,5.7,4.0,8.1,,,234.0,15.4,40.8,1028.5,
2024-02-03,9.0,8.2,9.8,,,255.0,19.9,42.6,1024.3,
2024-02-04,9.5,8.9,10.0,,,260.0,22.2,51.8,1020.4,
2024-02-05,9.9,8.5,11.0,,,255.0,27.5,57.4,1017.8,
2024-02-06,9.2,8.3,10.0,,,231.0,24.8,51.8,1011.2,
2024-02-07,5.4,1.0,9.4,,,287.0,13.2,51.8,1004.6,
2024-02-08,1.7,-0.3,5.2,,,85.0,5.5,14.8,1000.4,
2024-02-09,8.7,5.5,11.3,,,201.0,10.3,35.2,989.2,
2024-02-10,10.2,8.7,12.6,,,135.0,6.8,18.5,988.9,
2024-02-11,8.0,6.5,9.2,,,218.0,6.8,20.4,991.2,
2024-02-12,6.3,4.6,8.0,,,247.0,9.0,24.1,1003.6,
2024-02-13,4.8,2.9,7.2,,,218.0,9.2,25.9,1018.2,
2024-02-14,7.3,4.1,9.7,,,201.0,12.1,31.5,1018.3,
2024-02-15,10.7,9.3,12.7,,,191.0,9.0,24.1,1017.7,
2024-02-16,11.3,9.1,14.2,,,208.0,10.3,29.6,1015.4,
2024-02-17,9.1,6.7,10.5,,,279.0,10.3,25.9,1029.4,
2024-02-18,7.0,4.7,9.2,,,199.0,10.3,38.9,1028.2,
2024-02-19,8.0,6.9,9.5,,,270.0,18.4,48.2,1023.9,
2024-02-20,7.3,5.8,8.9,,,259.0,12.4,27.8,1026.4,
2024-02-21,7.8,6.4,9.8,,,205.0,12.8,35.2,1017.1,
2024-02-22,9.0,7.6,10.4,,,204.0,17.4,50.0,993.4,
2024-02-23,6.4,3.3,8.5,,,212.0,17.1,51.8,994.2,
2024-02-24,3.9,1.8,6.5,,,193.0,9.8,35.2,1001.4,
2024-02-25,4.2,2.1,7.4,,,182.0,9.3,31.5,1004.2,
2024-02-26,3.9,1.1,6.6,,,51.0,11.0,22.2,1004.5,
2024-02-27,4.7,1.7,8.0,,,8.0,11.7,24.1,1016.2,
2024-02-28,2.7,-1.6,7.8,,,237.0,4.3,13.0,1021.6,
2024-02-29,4.9,0.3,10.5,,,175.0,7.9,27.8,1014.4,
2024-03-01,6.0,2.1,10.2,,,184.0,8.2,29.6,1006.2,
2024-03-02,7.6,3.7,12.6,,,151.0,7.9,25.9,1004.6,
2024-03-03,8.1,3.6,13.6,,,76.0,8.5,25.9,1002.6,
2024-03-04,6.7,3.2,10.6,,,319.0,6.9,18.5,1009.5,
2024-03-05,6.7,5.3,8.6,,,336.0,4.8,11.1,1014.7,
2024-03-06,6.1,4.3,8.8,,,37.0,7.3,18.5,1022.5,
2024-03-07,3.7,1.0,6.9,,,54.0,11.4,27.8,1024.5,
2024-03-08,3.4,-1.0,8.2,,,86.0,15.1,38.9,1016.4,
2024-03-09,4.5,-0.1,10.3,,,93.0,10.0,24.1,1006.1,
2024-03-10,6.9,2.0,11.8,,,65.0,12.4,31.5,999.1,
2024-03-11,7.0,5.0,9.7,,,218.0,9.6,33.3,1002.9,
2024-03-12,6.3,3.5,9.4,,,218.0,7.8,24.1,1014.7,
2024-03-13,7.1,3.8,10.0,,,189.0,7.1,20.4,1016.8,
2024-03-14,11.0,7.3,15.6,,,185.0,7.2,24.1,1014.2,
2024-03-15,10.9,7.6,14.8,,,212.0,11.3,35.2,1010.2,
2024-03-16,8.8,4.0,10.2,,,258.0,12.7,38.9,1017.1,
2024-03-17,6.0,0.6,11.3,,,150.0,5.4,16.7,1023.4,
2024-03-18,7.0,4.2,10.2,,,104.0,5.2,14.8,1018.1,
2024-03-19,8.8,4.3,14.0,,,154.0,5.3,16.7,1019.7,
2024-03-20,10.4,4.1,16.7,,,187.0,5.1,16.7,1020.0,
2024-03-21,9.3,6.7,12.2,,,276.0,10.9,37.0,1021.7,
2024-03-22,10.2,6.3,14.5,,,230.0,10.6,31.5,1017.1,
2024-03-23,5.7,3.2,7.6,,,276.0,14.6,46.3,1009.0,
2024-03-24,4.5,2.6,6.3,,,234.0,18.9,50.0,1003.9,
2024-03-25,6.1,3.6,9.2,,,256.0,11.8,40.8,1006.3,
2024-03-26,6.9,0.4,13.9,,,103.0,8.2,24.1,996.0,
2024-03-27,9.2,3.4,15.9,,,325.0,8.4,27.8,988.1,
2024-03-28,7.8,6.3,9.5,,,222.0,14.4,46.3,990.6,
2024-03-29,8.4,5.2,11.9,,,184.0,11.0,33.3,997.8,
2024-03-30,13.0,7.1,20.5,,,238.0,7.2,22.2,998.1,
2024-03-31,11.4,7.2,16.1,,,33.0,7.0,20.4,999.1,
2024-04-01,9.0,7.9,10.7,,,286.0,10.3,35.2,996.7,
2024-04-02,9.2,6.7,12.4,,,230.0,16.9,48.2,1006.6,
2024-04-03,9.4,7.3,11.6,,,208.0,11.2,31.5,1007.8,
2024-04-04,10.6,7.9,13.4,,,218.0,15.2,46.3,1008.6,
2024-04-05,13.6,9.3,17.8,,,211.0,14.1,42.6,1011.9,
2024-04-06,17.4,11.5,24.2,,,197.0,9.5,31.5,1014.1,
2024-04-07,17.3,12.1,22.2,,,220.0,9.4,31.5,1014.4,
2024-04-08,17.8,12.3,23.9,,,240.0,8.2,31.5,1009.5,
2024-04-09,12.8,9.5,15.4,,,247.0,11.6,42.6,1010.4,
2024-04-10,9.6,5.9,13.0,,,243.0,9.6,25.9,1026.4,
2024-04-11,9.9,4.0,14.9,,,211.0,8.2,25.9,1032.2,
2024-04-12,14.4,9.2,19.4,,,224.0,8.6,29.6,1031.1,
2024-04-13,16.4,10.7,22.1,,,221.0,10.2,31.5,1025.1,
2024-04-14,14.4,10.3,16.3,,,285.0,13.8,35.2,1019.7,
2024-04-15,9.5,5.8,13.3,,,251.0,15.1,55.5,1009.0,
2024-04-16,5.5,4.3,6.7,,,251.0,16.5,37.0,1002.7,
2024-04-17,5.0,3.2,6.8,,,308.0,11.8,31.5,1010.0,
2024-04-18,5.8,2.7,9.2,,,317.0,10.2,29.6,1016.3,
2024-04-19,5.8,4.6,7.3,,,244.0,17.2,44.5,1009.5,
2024-04-20,5.1,3.3,6.8,,,313.0,16.2,40.8,1016.5,
2024-04-21,4.0,1.7,6.3,,,15.0,14.2,37.0,1021.6,
2024-04-22,2.5,-1.2,5.8,,,26.0,8.6,22.2,1024.2,
2024-04-23,3.0,-3.3,7.6,,,5.0,5.7,14.8,1020.0,
2024-04-24,4.2,2.1,6.3,,,247.0,10.2,33.3,1008.5,
2024-04-25,5.0,2.7,7.4,,,248.0,10.3,29.6,1006.4,
2024-04-26,8.0,3.0,12.5,,,192.0,8.8,31.5,1005.7,
2024-04-27,10.8,2.8,17.8,,,180.0,7.9,33.3,1008.6,
2024-04-28,13.1,6.7,18.4,,,187.0,10.0,37.0,1011.0,
2024-04-29,13.0,6.3,18.6,,,171.0,5.9,22.2,1021.0,
2024-04-30,16.5,9.1,23.4,,,29.0,6.5,20.4,1016.5,
2024-05-01,18.4,10.2,25.4,,,41.0,8.9,29.6,1007.3,
2024-05-02,17.2,11.4,22.0,,,81.0,9.9,29.6,1000.7,
2024-05-03,13.7,11.0,15.1,,,230.0,11.2,31.5,1009.2,
2024-05-04,11.8,6.8,15.1,,,160.0,5.8,18.5,1015.5,
2024-05-05,13.0,10.3,16.2,,,238.0,11.6,37.0,1009.5,
2024-05-06,11.5,7.6,14.5,,,26.0,6.4,14.8,1008.9,
2024-05-07,12.1,10.1,14.4,,,12.0,10.6,22.2,1016.3,
2024-05-08,11.9,5.9,16.9,,,357.0,8.9,24.1,1024.9,
2024-05-09,12.5,4.4,18.4,,,338.0,6.3,18.5,1026.6,
2024-05-10,14.1,6.7,20.2,,,352.0,6.1,16.7,1023.8,
2024-05-11,15.0,7.3,21.0,,,12.0,7.3,18.5,1022.4,
2024-05-12,15.8,8.4,21.5,,,70.0,10.8,29.6,1019.1,
2024-05-13,17.6,9.9,23.8,,,106.0,7.5,25.9,1013.6,
2024-05-14,17.9,9.8,24.3,,,85.0,11.3,37.0,1009.1,
2024-05-15,17.8,10.7,23.7,,,86.0,12.1,35.2,1006.7,
2024-05-16,16.2,13.2,18.7,,,89.0,9.0,24.1,1005.8,
2024-05-17,15.1,11.2,18.5,,,56.0,12.8,33.3,1006.0,
2024-05-18,13.8,9.6,16.6,,,37.0,5.1,14.8,1009.5,
2024-05-19,13.6,11.1,16.3,,,258.0,5.5,18.5,1009.9,
2024-05-20,14.6,9.5,20.0,,,169.0,5.3,18.5,1010.7,
2024-05-21,16.1,10.2,21.0,,,47.0,9.8,29.6,1007.9,
2024-05-22,14.9,13.2,16.7,,,228.0,7.9,20.4,1008.5,
2024-05-23,15.0,9.0,19.9,,,257.0,6.7,20.4,1015.0,
2024-05-24,13.9,9.9,16.7,,,16.0,6.3,18.5,1017.5,
2024-05-25,15.3,11.6,19.7,,,212.0,6.0,18.5,1017.2,
2024-05-26,16.3,9.5,21.9,,,204.0,6.5,25.9,1017.3,
2024-05-27,16.6,13.1,19.9,,,232.0,6.2,20.4,1016.8,
2024-05-28,14.3,11.6,17.3,,,250.0,10.2,27.8,1017.6,
2024-05-29,14.5,12.8,16.7,,,201.0,10.1,29.6,1012.0,
2024-05-30,13.4,11.6,15.7,,,317.0,6.2,18.5,1006.4,
2024-05-31,14.3,11.1,17.4,,,307.0,11.8,25.9,1009.1,
2024-06-01,15.7,13.0,18.9,,,319.0,13.5,27.8,1013.1,
2024-06-02,15.5,13.1,17.2,,,315.0,14.7,29.6,1018.6,
2024-06-03,12.9,9.8,16.0,,,311.0,10.3,25.9,1019.4,
2024-06-04,14.0,8.0,19.1,,,209.0,5.7,18.5,1014.8,
2024-06-05,14.4,12.2,15.7,,,246.0,9.6,25.9,1011.8,
2024-06-06,13.0,6.4,18.4,,,262.0,7.7,29.6,1016.8,
2024-06-07,13.3,6.9,18.5,,,290.0,7.2,20.4,1018.3,
2024-06-08,14.9,6.8,21.4,,,263.0,9.3,33.3,1012.5,
2024-06-09,14.1,9.2,18.7,,,290.0,8.9,25.9,1010.1,
2024-06-10,11.6,7.6,15.0,,,240.0,9.1,33.3,1007.5,
2024-06-11,11.5,8.9,14.3,,,269.0,17.1,44.5,1013.2,
2024-06-12,10.7,6.0,14.4,,,267.0,8.9,31.5,1018.5,
2024-06-13,11.9,6.5,16.1,,,244.0,5.7,20.4,1018.4,
2024-06-14,14.1,9.1,18.1,,,181.0,9.0,31.5,1010.9,
2024-06-15,15.7,13.2,18.2,,,210.0,15.0,46.3,1006.2,
2024-06-16,15.0,10.4,18.8,,,198.0,11.0,37.0,1009.1,
2024-06-17,16.2,12.6,19.9,,,211.0,8.2,25.9,1012.2,
2024-06-18,17.1,12.2,22.1,,,213.0,6.3,22.2,1013.8,
2024-06-19,15.6,13.1,17.6,,,339.0,9.4,20.4,1016.0,
2024-06-20,15.5,8.0,21.4,,,47.0,8.4,22.2,1020.4,
2024-06-21,18.4,15.2,22.2,,,200.0,7.3,24.1,1012.7,
2024-06-22,17.1,13.9,19.9,,,260.0,12.4,31.5,1012.8,
2024-06-23,17.0,12.0,21.3,,,303.0,7.3,20.4,1018.4,
2024-06-24,18.2,10.2,24.5,,,18.0,6.8,20.4,1020.0,
2024-06-25,19.8,11.9,25.8,,,40.0,9.6,29.6,1016.6,
2024-06-26,21.4,13.4,27.7,,,36.0,8.1,22.2,1011.7,
2024-06-27,21.8,16.6,25.9,,,233.0,6.2,20.4,1009.3,
2024-06-28,20.3,16.3,23.7,,,266.0,11.6,38.9,1014.0,
2024-06-29,19.6,10.4,27.2,,,26.0,7.1,22.2,1014.2,
2024-06-30,18.7,16.2,20.9,,,282.0,11.0,29.6,1007.0,
